1,0,0,49
1,0,0,49
1,0,0,49
1,0,0,49
3,0,0,47
7,0,0,43
8,0,0,42
7,0,1,42
8,0,1,41
10,0,1,39
9,1,1,39
9,1,1,39
9,1,2,38
9,1,2,38
7,4,2,37
6,6,2,36
6,7,2,35
8,7,2,33
7,8,2,33
10,9,2,29
11,9,2,28
13,9,2,26
16,10,2,22
15,10,3,22
16,11,3,20
18,11,3,18
20,12,3,15
20,14,3,13
21,14,3,12
16,19,3,12
17,19,3,11
15,21,3,11
10,25,4,11
9,25,5,11
9,26,5,10
7,28,5,10
5,31,5,9
4,32,5,9
3,33,5,9
3,33,5,9
2,34,5,9
3,34,5,8
3,34,5,8
3,34,5,8
2,35,5,8
2,35,5,8
1,36,5,8
1,36,5,8
1,36,5,8
1,36,5,8
1,36,5,8
0,37,5,8
